SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1228 14th St #202,Santa Monica,CA,90404,665000,1,1.0,Santa Monica,798,14989,1971,49,833,258,Active,,,http://www.redfin.com/CA/Santa-Monica/1228-14th-St-90404/unit-202/home/6773724,TheMLS,20-588722,N,Y,34.0259767,-118.4884455
MLS Listing,,Single Family Residential,433 20th St,Santa Monica,CA,90402,6695000,6,7.5,Santa Monica,7836,8947,2008,49,854,,Active,,,http://www.redfin.com/CA/Santa-Monica/433-20th-St-90402/home/6770418,TheMLS,20-587316,N,Y,34.040449,-118.4938867
MLS Listing,,Single Family Residential,102 Ocean Way,Santa Monica,CA,90402,12000000,6,6.25,Santa Monica,5198,29000,1923,51,2309,,Active,,,http://www.redfin.com/CA/Santa-Monica/102-Ocean-Way-90402/home/6840364,TheMLS,20-586602,N,Y,34.0275257,-118.5170724
MLS Listing,,Condo/Co-op,1133 5th St #401,Santa Monica,CA,90403,1625000,2,2.5,C14 - Santa Monica,1682,14996,1985,51,966,569,Active,,,http://www.redfin.com/CA/Santa-Monica/1133-5th-St-90403/unit-401/home/6780539,CRMLS,PW20109908,N,Y,34.0206951,-118.4977901
MLS Listing,,Townhouse,910 19th St #3,Santa Monica,CA,90403,1490000,2,2.5,C14 - Santa Monica,1491,16020,1976,51,999,359,Active,,,http://www.redfin.com/CA/Santa-Monica/910-19th-St-90403/unit-3/home/6768918,CRMLS,NP20110171,N,Y,34.0342063,-118.4888334
MLS Listing,,Condo/Co-op,446 San Vicente #101,Santa Monica,CA,90402,1299000,2,2.0,Santa Monica,1447,15543,1962,51,898,624,Active,,,http://www.redfin.com/CA/Santa-Monica/446-San-Vicente-Blvd-90402/unit-101/home/6781651,TheMLS,20-588176,N,Y,34.029955,-118.5093659
MLS Listing,,Condo/Co-op,1252 11th St #105,Santa Monica,CA,90401,950000,4,2.0,C14 - Santa Monica,1427,,1973,51,666,506,Active,,,http://www.redfin.com/CA/Santa-Monica/1252-11th-St-90401/unit-105/home/6773861,CRMLS,SB20104484,N,Y,34.0230847,-118.4905894
MLS Listing,,Condo/Co-op,1033 N Ocean Ave #403,Santa Monica,CA,90403,2950000,2,2.0,Santa Monica,1620,14986,1981,54,1821,925,Active,,,http://www.redfin.com/CA/Santa-Monica/1033-Ocean-Ave-90403/unit-403/home/6781288,TheMLS,20-587104,N,Y,34.0190064,-118.5031842
MLS Listing,,Condo/Co-op,201 Ocean Ave Unit 1404P,Santa Monica,CA,90402,1650000,3,3.0,Santa Monica,1554,38608,1971,54,1062,3486,Active,,,http://www.redfin.com/CA/Santa-Monica/201-Ocean-Ave-90402/unit-1404P/home/17243710,TheMLS,20-586992,N,Y,34.0270978,-118.5143597
MLS Listing,,Condo/Co-op,201 Ocean Ave Unit 804B,Santa Monica,CA,90402,1550000,3,3.0,Santa Monica,1554,57915,1971,54,997,3439,Active,,,http://www.redfin.com/CA/Santa-Monica/201-Ocean-Ave-90402/unit-804B/home/17243763,TheMLS,20-586996,N,Y,34.0270978,-118.5143597
MLS Listing,,Townhouse,1927 18th St Unit C,Santa Monica,CA,90404,2095000,3,4.5,Santa Monica,2915,7840,2020,55,719,341,Active,,,http://www.redfin.com/CA/Santa-Monica/1927-18th-St-90404/unit-C/home/171979608,TheMLS,20-577790,N,Y,34.0200617,-118.4730292
MLS Listing,,Condo/Co-op,101 California Ave #1103,Santa Monica,CA,90403,1059000,1,1.0,Santa Monica,674,18745,1964,55,1571,1020,Active,,,http://www.redfin.com/CA/Santa-Monica/101-California-Ave-90403/unit-1103/home/6781236,TheMLS,20-586522,N,Y,34.0186374,-118.5027525
MLS Listing,,Condo/Co-op,3101 3rd St #2,Santa Monica,CA,90405,679000,1,1.0,Santa Monica,498,7747,1956,55,1363,250,Active,,,http://www.redfin.com/CA/Santa-Monica/3101-3rd-St-90405/unit-2/home/6778480,TheMLS,20-585866,N,Y,33.9991748,-118.4777728
MLS Listing,,Townhouse,2630 11th St #6,Santa Monica,CA,90405,1589999,3,2.5,699 - Not Defined,1989,9993,1980,58,799,,Active,,,http://www.redfin.com/CA/Santa-Monica/2630-11th-St-90405/unit-6/home/6775585,CRMLS,MB20102540,N,Y,34.0074931,-118.4733848
MLS Listing,,Single Family Residential,713 14th St,Santa Monica,CA,90402,2800000,2,1.0,Santa Monica,1250,7541,1927,58,2240,,Active,,,http://www.redfin.com/CA/Santa-Monica/713-14th-St-90402/home/6771193,TheMLS,20-585172,N,Y,34.0330638,-118.4957326
MLS Listing,,Single Family Residential,1951 18th St,Santa Monica,CA,90404,1850000,5,2.0,Santa Monica,1182,8008,1939,58,1565,,Active,,,http://www.redfin.com/CA/Santa-Monica/1951-18th-St-90404/home/6767183,TheMLS,20-584672,N,Y,34.0195505,-118.4726911
MLS Listing,,Single Family Residential,3117 Virginia Ave,Santa Monica,CA,90404,1850000,5,5.0,Santa Monica,2600,6483,1938,58,712,,Active,,,http://www.redfin.com/CA/Santa-Monica/3117-Virginia-Ave-90404/home/6764500,TheMLS,20-583102,N,Y,34.0279278,-118.4581327
MLS Listing,,Condo/Co-op,1755 Ocean Ave #309,Santa Monica,CA,90401,1248000,1,1.0,Santa Monica,,,,58,,1472,Active,,,http://www.redfin.com/CA/Santa-Monica/1755-Ocean-Ave-90401/unit-309/home/62170639,TheMLS,20-583728,N,Y,34.0087273,-118.4911656
MLS Listing,,Condo/Co-op,2221 Ocean Ave #102,Santa Monica,CA,90405,859000,1,1.0,Santa Monica,865,10396,1973,58,993,552,Active,,,http://www.redfin.com/CA/Santa-Monica/2221-Ocean-Ave-90405/unit-102/home/6779794,TheMLS,20-582552,N,Y,34.0041759,-118.4881301
MLS Listing,,Condo/Co-op,610 Strand St #15,Santa Monica,CA,90405,1195000,2,2.0,Santa Monica,1247,19063,1963,62,958,286,Active,,,http://www.redfin.com/CA/Santa-Monica/610-Strand-St-90405/unit-15/home/6779233,TheMLS,20-584074,N,Y,34.0080613,-118.4822778
MLS Listing,,Condo/Co-op,2222 6th St Unit B,Santa Monica,CA,90405,1425000,2,2.0,Santa Monica,1117,5598,1991,62,1276,150,Active,,,http://www.redfin.com/CA/Santa-Monica/2222-6th-St-90405/unit-B/home/6779387,TheMLS,20-583546,N,Y,34.00815,-118.483224
MLS Listing,,Multi-Family (5+ Unit),1326 Yale St #1,Santa Monica,CA,90404,2795000,13,9.0,Santa Monica,6243,7487,1962,62,448,,Active,,,http://www.redfin.com/CA/Santa-Monica/1326-Yale-St-90404/unit-1/home/6763254,TheMLS,20-583018,N,Y,34.0362131,-118.4727957
MLS Listing,,Townhouse,1925 Montana Ave #2,Santa Monica,CA,90403,1595000,2,2.0,Santa Monica,1429,8942,1962,63,1116,300,Active,,,http://www.redfin.com/CA/Santa-Monica/1925-Montana-Ave-90403/unit-2/home/6770486,TheMLS,20-583500,N,Y,34.0365185,-118.490199
MLS Listing,,Condo/Co-op,20 Ocean Park #9,Santa Monica,CA,90405,3795000,4,4.5,Santa Monica,3243,196170,1987,63,1170,1413,Active,,,http://www.redfin.com/CA/Santa-Monica/20-Ocean-Park-Blvd-90405/unit-9/home/6778855,TheMLS,20-581920,N,Y,34.0008926,-118.4846748
MLS Listing,,Condo/Co-op,757 Ocean Ave #209,Santa Monica,CA,90402,859900,1,1.0,Santa Monica,738,22362,1958,63,1165,634,Active,,,http://www.redfin.com/CA/Santa-Monica/757-Ocean-Ave-90402/unit-209/home/6782256,TheMLS,20-582924,N,Y,34.0226852,-118.5074009
